Article,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Token Count
bctech2083.txt,18,3,0.9999999523809546,0.060869565040957786,345
bctech2084.txt,10,2,0.9999999166666736,0.05263157871652816,228
bctech2085.txt,16,4,0.9999999500000024,0.054200541858535116,369
bctech2086.txt,16,3,0.9999999473684238,0.05337078636693599,356
bctech2087.txt,12,3,0.9999999333333378,0.04601226979750837,326
bctech2088.txt,13,17,0.9999999666666678,0.10452961636052399,287
bctech2089.txt,17,16,0.9999999696969707,0.09401709374923906,351
bctech2090.txt,11,4,0.9999999333333378,0.03521126752297825,426
bctech2091.txt,10,4,0.9999999285714337,0.04057971002730519,345
bctech2092.txt,15,2,0.999999941176474,0.07083333303819445,240
bctech2093.txt,13,10,0.999999956521741,0.07467532443287232,308
bctech2094.txt,18,6,0.999999958333335,0.07017543839129989,342
bctech2095.txt,9,1,0.99999990000001,0.036496350231765146,274
bctech2096.txt,16,1,0.999999941176474,0.06772908339550165,251
bctech2097.txt,11,3,0.9999999285714337,0.051851851659807956,270
bctech2098.txt,13,3,0.9999999375000038,0.047197639978768025,339
bctech2099.txt,9,2,0.9999999090909174,0.03133903124974635,351
bctech2100.txt,16,3,0.9999999473684238,0.06070287520542213,313
bctech2101.txt,9,7,0.9999999375000038,0.04878048765615705,328
bctech2102.txt,37,2,0.999999974358975,0.0554765290818257,703
bctech2103.txt,37,0,0.9999999729729737,0.04946524057558123,748
bctech2104.txt,9,5,0.9999999285714337,0.050541516063027016,277
bctech2105.txt,14,5,0.9999999473684238,0.053521126609799644,355
bctech2106.txt,16,2,0.9999999444444475,0.07114624477807809,253
bctech2107.txt,12,5,0.999999941176474,0.051359516461149494,331
bctech2108.txt,10,1,0.9999999090909174,0.04313725473279508,255
bctech2109.txt,17,5,0.9999999545454565,0.05699481850519477,386
bctech2110.txt,12,1,0.9999999230769291,0.049808428927937055,261
bctech2111.txt,13,6,0.9999999473684238,0.06129032238293444,310
bctech2112.txt,7,4,0.9999999090909174,0.03971119119237837,277
bctech2113.txt,13,6,0.9999999473684238,0.048101265701009456,395
bctech2114.txt,10,1,0.9999999090909174,0.043650793477576215,252
bctech2115.txt,55,5,0.9999999833333336,0.08849557509071448,678
bctech2116.txt,27,2,0.9999999655172426,0.06029106016571505,481
bctech2117.txt,9,5,0.9999999285714337,0.04560260571464949,307
bctech2118.txt,15,2,0.999999941176474,0.06204379539400075,274
bctech2119.txt,20,5,0.9999999600000016,0.08896797121363711,281
bctech2120.txt,18,4,0.9999999545454565,0.05164319236703476,426
bctech2121.txt,21,4,0.9999999600000016,0.05868544587163041,426
bctech2122.txt,14,5,0.9999999473684238,0.056213017585168584,338
bctech2123.txt,34,4,0.9999999736842113,0.081545064202693,466
bctech2124.txt,8,4,0.9999999166666736,0.052401746496062246,229
bctech2125.txt,15,4,0.9999999473684238,0.05900621099687512,322
bctech2126.txt,7,11,0.9999999444444475,0.034285714220408166,525
bctech2127.txt,34,18,0.9999999807692311,0.0559139784345011,930
bctech2128.txt,26,4,0.9999999666666678,0.050083472370478346,599
bctech2129.txt,6,2,0.9999998750000157,0.0506329110719436,158
bctech2130.txt,10,2,0.9999999166666736,0.06557377013347666,183
bctech2131.txt,17,0,0.999999941176474,0.084999999575,200
bctech2132.txt,19,6,0.9999999600000016,0.12820512754766603,195
bctech2133.txt,14,1,0.9999999333333378,0.09554140066534139,157
bctech2134.txt,11,2,0.9999999230769291,0.07344632726866482,177
bctech2135.txt,22,8,0.9999999666666678,0.061728394934715235,486
bctech2136.txt,8,2,0.99999990000001,0.050761421062124765,197
bctech2137.txt,10,8,0.9999999444444475,0.04411764695069204,408
bctech2138.txt,14,5,0.9999999473684238,0.07692307661164746,247
bctech2139.txt,22,2,0.999999958333335,0.06916426493036235,347
bctech2140.txt,17,5,0.9999999545454565,0.061971830811346953,355
bctech2141.txt,13,0,0.9999999230769291,0.040880503016099044,318
bctech2142.txt,8,2,0.99999990000001,0.033670033556666555,297
bctech2143.txt,11,4,0.9999999333333378,0.05952380928760393,252
bctech2144.txt,10,9,0.9999999473684238,0.073076922795858,260
bctech2145.txt,11,2,0.9999999230769291,0.05462184850999224,238
bctech2146.txt,15,1,0.9999999375000038,0.06584362112821555,243
bctech2147.txt,14,3,0.999999941176474,0.07142857112845138,238
bctech2148.txt,15,3,0.9999999444444475,0.06593406569254921,273
bctech2149.txt,15,5,0.9999999500000024,0.07575757547061525,264
bctech2150.txt,20,2,0.9999999545454565,0.06376811575719386,345
bctech2151.txt,20,9,0.9999999655172426,0.04302670616761616,674
bctech2152.txt,15,8,0.999999956521741,0.05424528289093094,424
bctech2153.txt,20,8,0.9999999642857155,0.04327666144779496,647
bctech2154.txt,29,20,0.9999999795918372,0.051041666613498266,960
bctech2155.txt,18,11,0.9999999655172426,0.09206349177122701,315
bctech2156.txt,7,0,0.9999998571428775,0.03211009159582527,218
bctech2157.txt,7,0,0.9999998571428775,0.03645833314344618,192
